question,answer,contexts,ground_truth,f1,bert_f1
What is normal body temperature?,"Normal body temperature is 98.6°F (37°C), specifically for rectal and urine temperatures.","['Description\nFever is a natural response of the body that helps in\nfighting off foreign substances, such as microorganisms,\ntoxins, etc. Body temperature is set by the thermoregula-\ntory center, located in an area in the brain called hypo-\nthalamus. Body temperature is not constant all day, but\nactually is lowest at 6 A.M. and highest around 4–6 P.M. In\naddition, temperature varies in different regions of the\nbody; for example, rectal and urine temperatures are', 'average being 98.6°F (37°C). The body maintains stabili-\nty within this range by balancing the heat produced by the\nmetabolism with the heat lost to the environment. The\n“thermostat” that controls this process is located in the\nhypothalamus, a small structure located deep within the\nbrain. The nervous system constantly relays information\nabout the body’s temperature to the thermostat, which in\nturn activates different physical responses designed to\nGALE ENCYCLOPEDIA OF MEDICINE 2 1313\nFever']","Normal body temperature averages 37°C (98.6°F). It varies slightly with time of day, activity, and age, but remains tightly regulated by hypothalamic control.",0.22857142857142854,0.9043041467666626
What is blood pressure?,"Blood pressure is the force of blood against the walls of the arteries, specifically in this context, the arteries supplying the lungs.","['which the blood pressure in the arteries supplying the\nlungs is abnormally high)\n• respiratory distress syndrome (a lung disorder usually\nof premature infants that causes increasing difficulty in\nbreathing, leading to a life-threatening deficiency of\noxygen in the blood)\n• congenital diaphragmatic hernia (the profusion of part\nof the stomach through an opening in the diaphragm).\n• pneumonia\n• blood poisoning\nECMO is also used to support a child or adult', '20 Current Essentials of Medicine\n1 Hypertension\n■ Essentials of Diagnosis\n• In most patients (95% of cases), no cause can be found\n• Chronic elevation in blood pressure (> 140/90 mm Hg) occurs in\n23% of non-Hispanic white adults and 32% of non-Hispanic black\nadults in the United States; onset is usually between ages 20 and 55\n• The pathogenesis is multifactorial: Environmental, dietary,\ngenetic, and neurohormonal factors all contribute']","Blood pressure is the force exerted by circulating blood on arterial walls, expressed as systolic over diastolic pressure, reflecting cardiac output and vascular resistance.",0.21739130434782608,0.886289656162262
What is hypertension?,Hypertension is a condition characterized by chronic elevation in blood pressure (> 140/90 mm Hg) that occurs in 23% of non-Hispanic white adults and 32% of non-Hispanic black adults in the United States.,"['20 Current Essentials of Medicine\n1 Hypertension\n■ Essentials of Diagnosis\n• In most patients (95% of cases), no cause can be found\n• Chronic elevation in blood pressure (> 140/90 mm Hg) occurs in\n23% of non-Hispanic white adults and 32% of non-Hispanic black\nadults in the United States; onset is usually between ages 20 and 55\n• The pathogenesis is multifactorial: Environmental, dietary,\ngenetic, and neurohormonal factors all contribute', 'completely controlled through lifestyle changes and\nmedication. Moderate hypertension can be controlled by\nreducing dietary intake of sodium and fat, exercising reg-\nularly, managing stress, abstaining from smoking, and\ndrinking alcohol in moderation. People for whom these\nchanges do not work or people with severe hypertension\nmay be helped by many categories of medication.\nManage stress\nEveryone experiences stress, the mental and physi-']","Hypertension is a chronic condition where blood pressure persistently exceeds 140/90 mmHg, increasing risk of heart disease, stroke, kidney damage, and other complications.",0.35714285714285715,0.8891808986663818
What is hemoglobin?,"Hemoglobin is the oxygen-carrying pigment found in red blood cells, which also gives the cells their characteristic color.","['Hemoglobin is the oxygen-carrying pigment found\nin red blood cells. It is a large molecule made in the bone\nmarrow from two components, heme and globin.\nDefects in hemoglobin production may be either\ngenetic or acquired. The genetic defects are further sub-\ndivided into errors of heme production (porphyria), and\nthose of globin production (known collectively as the\nhemoglobinopathies).\nThere are two categories of hemoglobinopathy. In\nthe first category, abnormal globin chains give rise to', 'Hemoglobin —A molecule in red blood cells that\ntransports oxygen and gives the cells their charac-\nteristic color.\nHydrops fetalis —A condition in which a fetus or\nnewborn baby accumulates fluids, causing swollen\narms and legs and impaired breathing.\nHyperbilirubinemia —A condition in which biliru-\nbin accumulates to abnormally high levels in the\nbloodstream\nPlacenta —A protective membrane that surrounds\nand protects the fetus during pregnancy.']",Hemoglobin is an iron-containing protein in red blood cells responsible for transporting oxygen from lungs to tissues and returning carbon dioxide to lungs.,0.2926829268292683,0.9050328135490417
What is anemia?,Anemia is a condition in which there is an abnormally low number of red blood cells in the bloodstream.,"['Anemia—A condition in which there is an abnor-\nmally low number of red blood cells in the blood-\nstream. Major symptoms are paleness, shortness of\nbreath, unusually fast or strong heart beats, and\ntiredness.\nAntibody —A protein molecule produced by the\nimmune system in response to a protein that is not\nrecognized as belonging in the body.\nAntigen —A protein that can elicit an immune\nresponse in the form of antibody formation. With\nregard to red blood cells, the major antigens are A,', 'Anemia—A condition in which the hemoglobin\nconcentration in the blood is below normal.\nPolycythemia vera—A condition characterized by\nan unusually large number of red blood cells in\nthe blood due to increased production by the\nbone marrow. Symptoms include headaches,\nblurred vision, high blood pressure, dizziness, and\nnight sweats.\nSecondary polycythemia —Secondary polycythe-\nmia occurs when the excess of red blood cells is\ncaused by a condition other than polycythemia']","Anemia is a condition characterized by reduced hemoglobin or red blood cells, leading to decreased oxygen delivery, causing fatigue, weakness, pallor, and shortness of breath.",0.3181818181818182,0.9063670039176941
What is heart rate?,The heart rate is the number of times the heart beats per minute.,"['when a symptom is detected.\nFibrillation—Rapid, random contraction (quivering).\nHolter monitor —A small machine, worn by a\npatient usually for 24 hours, that continuously\nrecords the patient’s EKG during usual daily activity.\nStress test —Recording a patient’s EKG during\nexercise.\nSupraventricular tachycardia —A fast heart beat\nthat originates above the ventricles.\nTachycardia—Fast heartbeat.\nVascular—Pertaining to blood vessels.\n• accessory (extra) pathways\n• bradycardias\nResources\nBOOKS', 'Cardiopulmonary\nresuscitation (CPR)\nDefinition\nCardiopulmonary resuscitation (CPR) is a procedure\nto support and maintain breathing and circulation for a\nGALE ENCYCLOPEDIA OF MEDICINE 2 661\nCardiopulmonary resuscitation (CPR)']",Heart rate is the number of heartbeats per minute. Normal resting rate in adults ranges from 60 to 100 beats per minute.,0.5142857142857142,0.9248570799827576
What is myocardial infarction?,"Myocardial infarction is also known as heart muscle death, resulting from a blockage that cuts off the flow of blood.","['ischemia ). When the blockage is limited, chest pain or\npressure, called angina, may occur. When the blockage\ncuts off the flow of blood, the result is heart attack\n(myocardial infarction or heart muscle death).\nHealthy coronary arteries are clean, smooth, and\nslick. The artery walls are flexible and can expand to let\nmore blood through when the heart needs to work harder.\nThe disease process in arteries is thought to begin with\nan injury to the linings and walls of the arteries. This', '1\n1\nCardiovascular Diseases\nAcute Coronary Syndrome\n■ Essentials of Diagnosis\n• Classiﬁed as ST-segment elevation (Q wave) myocardial infarction\n(MI), non–ST-segment elevation (non-Q wave) MI, or unstable angina\n• Prolonged (> 30 minutes) chest pain, associated with shortness of\nbreath, nausea, left arm or neck pain, and diaphoresis; can be\npainless in diabetics\n• S4 common; S3, mitral insufﬁciency on occasion\n• Cardiogenic shock, ventricular arrhythmias may complicate']","Myocardial infarction occurs when blood flow to heart muscle is blocked, causing tissue death due to oxygen deprivation, commonly known as a heart attack.",0.4090909090909091,0.932159960269928
What is angina pectoris?,Angina pectoris is chest pain usually caused by a lack of oxygen in the heart muscle.,"['4 Current Essentials of Medicine\n1 Angina Pectoris\n■ Essentials of Diagnosis\n• Generally caused by atherosclerotic coronary artery disease and\nsevere coronary obstruction; cigarette smoking, diabetes mellitus,\nhypertension, hypercholesterolemia, and family history are estab-\nlished risk factors\n• Stable angina characterized by pressure-like episodic precordial\nchest discomfort, precipitated by exertion or stress, relieved by rest', 'episodes of atrial flutter, fibrillation, and some tachycar-\nKEY TERMS\nAngina pectoris —Chest pain usually caused by a\nlack of oxygen in the heart muscle.\nArrhythmia —Any deviation from a normal heart\nbeat.\nAtrial fibrillation —A condition in which the\nupper chamber of the heart quivers instead of\npumping in an organized way.\nAtrial flutter—Rapid, inefficient contraction of the\nupper chamber of the heart.\nCarotid artery—One of the major arteries supply-\ning blood to the head and neck.']","Angina is chest discomfort caused by reduced blood supply to heart muscle, often triggered by exertion or stress, relieved by rest or medication.",0.30769230769230765,0.9116090536117554
What is atherosclerosis?,"Atherosclerosis is a disease of the coronary arteries where cholesterol is deposited in plaques on the arterial walls, narrowing or blocking blood flow to the heart. It is also known as coronary artery disease (CAD).","['ly to evaluate the liver function as well as lipids. The\npatient’s doctor will give the patient a list of specific\nmedications to be discontinued before the test.\nAftercare\nAftercare includes routine care of the skin around the\nneedle puncture. Most patients have no aftereffects, but\nKEY TERMS\nAtherosclerosis—A disease of the coronary arteries\nin which cholesterol is deposited in plaques on the\narterial walls. The plaque narrows or blocks blood\nflow to the heart. Atherosclerosis is sometimes', 'flow to the heart. Atherosclerosis is sometimes\ncalled coronary artery disease, or CAD.\nFractionation —A laboratory test or process in\nwhich blood or another fluid is broken down into\nits components. Fractionation can be used to assess\nthe proportions of the different types of cholesterol\nin a blood sample.\nHigh-density lipoprotein (HDL)—A type of lipopro-\ntein that protects against CAD by removing choles-\nterol deposits from arteries or preventing their for-\nmation.']","Atherosclerosis is buildup of fatty plaques in arteries, narrowing them and reducing blood flow, increasing risk of heart attack, stroke, and peripheral vascular disease.",0.23728813559322035,0.9136738181114197
What is respiration?,"Respiration is the process of exchanging gases, specifically the movement of oxygen from the lungs into the bloodstream and the removal of carbon dioxide, which is then carried by the bloodstream into the lungs where it is exhaled.","['changes that take place within an organism.\nNutrient—Food or another substance that supplies\nthe body with the elements needed for metabolism.\nSugars—Those carbohydrates having the general\ncomposition of one part carbon, two parts hydro-\ngen, and one part oxygen.\nand carried by the bloodstream into the lungs where it\nis exhaled. Normally there is very little hydrogen\ndetectable in the breath, so its presence indicates faulty\ndigestion of lactose.', 'higher risk of inhaling CO.\nCauses and symptoms\nNormally when a person breathes fresh air into the\nlungs, the oxygen in the air binds with a molecule called\nhemoglobin (Hb) that is found in red blood cells. This\nallows oxygen to be moved from the lungs to every part\nof the body. When the oxygen/hemoglobin complex\nreaches a muscle where it is needed, the oxygen is\nreleased. Because the oxygen binding process is\nreversible, hemoglobin can be used over and over again']","Respiration is the process of inhaling oxygen and exhaling carbon dioxide, involving lungs and blood circulation to maintain cellular metabolism and energy production.",0.32786885245901637,0.89497971534729
What is asthma?,A disease in which the air passages of the lungs become inflamed and narrowed.,"['ins in the body due to elimination and cleansing.\nResearch and general acceptance\nAlthough environmental medicine is gaining more\nrespect within conventional medicine, detoxification\nKEY TERMS\nAllergen —A foreign substance, such as mites in\nhouse dust or animal dander, that when\ninhaled,causes the airways to narrow and pro-\nduces symptoms of asthma.\nAntibody —A protein, also called immunoglobu-\nlin, produced by immune system cells to remove\nantigens (the foreign substances that trigger the', 'mg in 24 hours.\nKEY TERMS\nAsthma—A disease in which the air passages of\nthe lungs become inflamed and narrowed.\nBronchitis —Inflammation of the air passages of\nthe lungs.\nChronic—A word used to describe a long-lasting\ncondition. Chronic conditions often develop grad-\nually and involve slow changes.\nCough suppressant —Medicine that stops or pre-\nvents coughing.\nEmphysema —An irreversible lung disease in\nwhich breathing becomes increasingly difficult.\nMucus—Thick fluid produced by the moist mem-']","Asthma is a chronic inflammatory disease of airways causing reversible narrowing, leading to wheezing, breathlessness, chest tightness, and coughing, especially at night or early morning.",0.20512820512820512,0.8878737688064575
What is pneumonia?,"Pneumonia is a disease in which the lungs become inflamed. It may be caused by bacteria, viruses, or other organisms, or by physical or chemical irritants.","['the lungs.\nDigestive tract —The stomach, intestines, and\nother parts of the body through which food passes.\nInflammation —Pain, redness, swelling, and heat\nthat usually develop in response to injury or illness.\nMicroorganism—An organism that is too small to\nbe seen with the naked eye.\nPneumonia —A disease in which the lungs\nbecome inflamed. Pneumonia may be caused by\nbacteria, viruses, or other organisms, or by physi-\ncal or chemical irritants.\nProstate—A donut-shaped gland in males below', '37\n2\nPulmonary Diseases\nAcute Bacterial Pneumonia\n■ Essentials of Diagnosis\n• Fever, chills, dyspnea, cough with purulent sputum production;\nearly pleuritic pain suggests pneumococcal etiology\n• Tachycardia, tachypnea; bronchial breath sounds with percussive\ndullness and egophony over involved lungs\n• Leukocytosis; WBC < 5000 or > 25,000 worrisome\n• Patchy or lobar inﬁltrate by chest x-ray\n• Diagnosis is clinical, but pathogen can be determined from proper']","Pneumonia is infection of lung tissue causing inflammation of alveoli, often filled with fluid or pus, resulting in fever, cough, difficulty breathing, and chest pain.",0.1568627450980392,0.8831980228424072
